PLAYER,POS,AGE,TEAM,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP,SEASON,index
Tyson Chandler,C,27,CHA,51,1163,12.5,.643,.000,.826,12.0,21.0,16.6,2.2,0.8,3.9,26.0,14.0,,0.9,2.0,2.9,.120,,-3.1,1.1,-2.0,0.0,2009-10,TysonChandler2009-10
Boris Diaw,PF,27,CHA,82,2906,12.8,.552,.266,.190,5.5,11.9,8.8,18.9,1.1,1.6,17.5,16.2,,2.4,3.8,6.2,.103,,-0.1,0.9,0.8,2.0,2009-10,BorisDiaw2009-10
DeSagana Diop,C,28,CHA,27,262,7.8,.485,.000,.310,11.2,18.5,15.0,2.9,1.0,4.4,26.7,8.0,,-0.1,0.5,0.4,.072,,-3.6,1.5,-2.1,0.0,2009-10,DeSaganaDiop2009-10
Raymond Felton,PG,25,CHA,80,2643,15.2,.525,.184,.204,2.5,10.5,6.6,29.5,2.5,0.7,15.4,19.2,,2.5,4.0,6.5,.118,,0.1,1.5,1.6,2.3,2009-10,RaymondFelton2009-10
Stephen Graham,SG,27,CHA,70,804,11.2,.551,.208,.271,3.7,16.3,10.1,5.0,1.3,1.0,11.8,17.6,,0.4,1.2,1.6,.094,,-2.4,0.8,-1.6,0.1,2009-10,StephenGraham2009-10
Gerald Henderson,SG,22,CHA,43,355,9.7,.453,.183,.452,5.2,13.3,9.3,6.0,1.5,2.1,10.1,18.2,,-0.1,0.5,0.4,.056,,-3.1,0.5,-2.5,0.0,2009-10,GeraldHenderson2009-10
Larry Hughes,SG,31,CHA,14,295,11.1,.467,.393,.318,2.9,10.0,6.5,15.8,2.2,1.1,13.5,22.2,,-0.1,0.4,0.3,.051,,-2.1,0.0,-2.1,0.0,2009-10,LarryHughes2009-10
Stephen Jackson,SG,31,CHA,72,2829,15.7,.520,.275,.309,3.1,12.3,7.8,17.3,2.2,1.1,13.8,27.8,,0.6,4.4,5.0,.085,,0.3,0.3,0.6,1.8,2009-10,StephenJackson2009-10
Acie Law,PG,25,CHA,9,33,7.5,.419,.063,.438,0.0,3.6,1.8,16.0,1.6,2.5,13.6,31.1,,-0.1,0.0,0.0,-0.066,,-7.2,-1.3,-8.5,-0.1,2009-10,AcieLaw2009-10
Nazr Mohammed,C,32,CHA,58,984,19.6,.578,.000,.365,14.2,22.9,18.6,5.4,0.8,3.6,11.8,21.3,,1.8,1.8,3.6,.174,,0.6,-0.1,0.5,0.6,2009-10,NazrMohammed2009-10
Ronald Murray,SG,30,CHA,46,993,11.4,.484,.319,.319,1.9,9.9,5.9,15.2,1.5,1.0,12.2,25.0,,-0.4,1.3,0.9,.041,,-1.7,-0.4,-2.1,0.0,2009-10,RonaldMurray2009-10
Vladimir Radmanović,PF,29,CHA,8,133,8.0,.437,.524,.143,7.4,18.7,13.1,8.6,1.2,0.6,10.1,17.3,,0.0,0.2,0.2,.055,,-2.5,1.6,-1.0,0.0,2009-10,VladimirRadmanović2009-10
Theo Ratliff,C,36,CHA,28,624,11.0,.528,.000,.397,8.7,13.9,11.3,4.1,0.8,5.7,15.5,12.0,,0.3,1.0,1.3,.104,,-3.1,1.6,-1.5,0.1,2009-10,TheoRatliff2009-10
Tyrus Thomas,C,23,CHA,25,542,17.1,.499,.009,.395,8.8,24.7,16.9,7.8,2.3,5.6,13.7,25.1,,-0.1,1.3,1.2,.106,,-2.4,1.9,-0.5,0.2,2009-10,TyrusThomas2009-10
Gerald Wallace,SF,27,CHA,76,3119,18.3,.586,.148,.577,5.9,23.2,14.7,9.0,2.0,2.2,13.1,20.3,,5.3,6.2,11.5,.177,,1.0,1.7,2.7,3.7,2009-10,GeraldWallace2009-10
Joe Alexander,SF,23,CHI,8,29,2.8,.273,.167,.500,7.8,11.3,9.6,9.3,1.8,2.6,0.0,11.3,,0.0,0.0,0.0,.030,,-9.1,0.9,-8.3,0.0,2009-10,JoeAlexander2009-10
Devin Brown,SG,31,CHI,11,93,0.4,.278,.472,.000,2.4,15.3,9.0,10.9,1.7,0.8,12.2,19.8,,-0.4,0.1,-0.3,-0.129,,-8.0,-0.3,-8.3,-0.1,2009-10,DevinBrown2009-10
Luol Deng,SF,24,CHI,70,2651,16.1,.531,.082,.325,5.6,15.8,10.7,9.1,1.3,1.8,10.4,21.9,,2.5,3.4,5.9,.106,,0.7,0.3,1.0,2.0,2009-10,LuolDeng2009-10
Taj Gibson,PF,24,CHI,82,2204,13.8,.521,.000,.278,11.6,19.2,15.4,5.0,1.2,3.6,13.9,16.7,,1.2,3.5,4.7,.103,,-2.4,0.5,-2.0,0.0,2009-10,TajGibson2009-10
Aaron Gray,C,25,CHI,8,50,7.0,.374,.000,.333,11.3,24.1,17.8,6.5,0.0,0.0,4.0,22.5,,-0.1,0.1,0.0,-0.013,,-5.5,-3.2,-8.7,-0.1,2009-10,AaronGray2009-10
Kirk Hinrich,SG,29,CHI,74,2481,11.6,.501,.372,.150,1.1,10.4,5.8,20.5,1.8,0.7,12.3,16.6,,1.2,2.8,4.0,.077,,-1.6,1.0,-0.5,0.9,2009-10,KirkHinrich2009-10
Lindsey Hunter,PG,39,CHI,13,122,-2.2,.210,.433,.067,0.9,11.7,6.4,10.1,0.4,0.0,11.5,12.8,,-0.4,0.1,-0.3,-0.117,,-9.7,-2.4,-12.0,-0.3,2009-10,LindseyHunter2009-10
James Johnson,PF,22,CHI,65,757,10.4,.532,.219,.333,5.1,13.6,9.4,9.8,1.4,4.3,20.5,18.0,,-0.3,1.1,0.8,.054,,-4.0,1.5,-2.4,-0.1,2009-10,JamesJohnson2009-10
Acie Law,PG,25,CHI,12,135,15.4,.580,.267,.600,2.5,8.9,5.8,19.2,1.5,0.0,17.4,22.9,,0.2,0.1,0.3,.101,,0.0,-1.0,-1.0,0.0,2009-10,AcieLaw2009-10
Brad Miller,C,33,CHI,82,1950,12.9,.530,.227,.379,4.8,17.8,11.4,12.2,1.2,1.1,13.6,18.1,,1.5,2.5,4.0,.098,,-1.4,0.5,-0.8,0.6,2009-10,BradMiller2009-10
Ronald Murray,SG,30,CHI,29,680,12.1,.487,.331,.232,2.2,11.6,7.0,12.2,1.4,0.4,8.0,21.5,,0.2,0.7,0.9,.065,,-1.7,-0.9,-2.5,-0.1,2009-10,RonaldMurray2009-10
Joakim Noah,C,24,CHI,64,1925,17.9,.557,.000,.421,12.9,27.6,20.3,10.8,0.9,4.0,16.0,17.1,,2.7,3.5,6.2,.154,,0.1,1.5,1.6,1.7,2009-10,JoakimNoah2009-10
Jannero Pargo,PG,30,CHI,63,829,8.9,.429,.362,.118,1.2,9.1,5.2,17.5,1.8,0.2,11.1,24.4,,-1.1,0.9,-0.3,-0.015,,-3.7,-1.1,-4.8,-0.6,2009-10,JanneroPargo2009-10
Chris Richard,PF,25,CHI,18,224,6.5,.547,.000,.379,9.6,19.6,14.7,4.4,1.8,1.4,29.3,9.6,,0.0,0.4,0.3,.067,,-6.8,1.0,-5.8,-0.2,2009-10,ChrisRichard2009-10
Derrick Rose,PG,21,CHI,78,2871,18.6,.532,.044,.246,2.6,8.7,5.7,30.3,1.0,0.7,12.5,27.2,,3.5,2.5,6.0,.100,,2.6,-0.9,1.7,2.7,2009-10,DerrickRose2009-10
John Salmons,SG,30,CHI,51,1695,12.7,.530,.350,.268,1.2,10.1,5.7,11.6,2.0,1.0,10.3,18.1,,1.2,2.0,3.2,.092,,-0.9,1.3,0.5,1.1,2009-10,JohnSalmons2009-10
Tyrus Thomas,PF,23,CHI,29,678,16.5,.523,.005,.439,7.0,22.8,15.0,7.8,3.0,5.4,17.5,19.6,,-0.2,1.6,1.4,.101,,-1.6,3.6,2.0,0.7,2009-10,TyrusThomas2009-10
Hakim Warrick,PF,27,CHI,28,533,15.7,.560,.006,.593,8.5,12.8,10.6,5.2,0.7,1.1,9.6,20.2,,1.0,0.5,1.5,.133,,-0.3,-1.6,-1.9,0.0,2009-10,HakimWarrick2009-10
Daniel Gibson,PG,23,CLE,56,1068,11.3,.613,.556,.183,1.5,6.4,4.1,9.8,1.2,0.5,11.1,14.2,,1.6,1.0,2.6,.117,,0.0,0.0,0.0,0.5,2009-10,DanielGibson2009-10
Danny Green,SG,22,CLE,20,115,12.3,.480,.564,.154,8.7,8.9,8.8,6.7,2.7,2.0,10.7,18.9,,0.0,0.2,0.2,.083,,-0.9,0.7,-0.2,0.1,2009-10,DannyGreen2009-10
J.J. Hickson,PF,21,CLE,81,1691,15.2,.580,.002,.312,8.2,19.5,14.1,3.9,1.1,1.8,13.4,18.9,,1.8,2.5,4.3,.123,,-1.0,-0.4,-1.4,0.3,2009-10,J.J.Hickson2009-10
Zydrunas Ilgauskas,C,34,CLE,64,1339,11.9,.491,.053,.231,10.7,19.6,15.3,5.6,0.5,2.9,11.6,19.0,,0.5,2.0,2.5,.088,,-3.1,-0.7,-3.8,-0.6,2009-10,ZydrunasIlgauskas2009-10
Cedric Jackson,PG,23,CLE,5,10,-6.6,.133,.500,2.000,0.0,11.3,6.0,25.5,0.0,0.0,21.0,22.2,,-0.1,0.0,-0.1,-0.336,,-10.4,-4.5,-14.9,0.0,2009-10,CedricJackson2009-10
Darnell Jackson,PF,24,CLE,27,114,0.4,.380,.120,.240,8.8,11.9,10.4,4.9,0.9,2.7,32.0,16.6,,-0.4,0.1,-0.2,-0.094,,-9.3,-1.2,-10.5,-0.2,2009-10,DarnellJackson2009-10
LeBron James,SF,25,CLE,76,2966,31.1,.604,.253,.506,3.0,18.5,11.1,41.8,2.2,2.0,12.3,33.5,,13.3,5.2,18.5,.299,,9.1,2.8,11.8,10.3,2009-10,LeBronJames2009-10
Antawn Jamison,PF,33,CLE,25,811,16.7,.530,.235,.247,5.7,21.8,14.2,6.8,1.8,1.1,7.5,23.1,,0.7,1.4,2.1,.122,,0.0,0.0,0.0,0.4,2009-10,AntawnJamison2009-10
Coby Karl,SG,26,CLE,3,5,-38.1,,,,0.0,45.4,23.8,0.0,0.0,0.0,100.0,37.3,,-0.1,0.0,-0.1,-1.112,,-31.0,-9.4,-40.3,-0.1,2009-10,CobyKarl2009-10
Jamario Moon,SF,29,CLE,61,1052,12.6,.555,.405,.182,3.1,17.8,10.8,6.9,1.7,2.2,7.9,12.8,,1.2,1.7,2.9,.131,,-0.2,1.6,1.4,0.9,2009-10,JamarioMoon2009-10
Shaquille O'Neal,C,37,CLE,53,1240,17.9,.565,.002,.488,9.4,24.0,17.0,11.3,0.6,3.9,15.7,25.1,,0.9,2.1,3.1,.119,,-1.0,0.8,-0.2,0.6,2009-10,ShaquilleO'Neal2009-10
Anthony Parker,SG,34,CLE,81,2289,9.9,.576,.549,.200,1.6,10.0,6.0,9.9,1.4,0.6,12.1,12.0,,2.3,2.6,4.9,.103,,-1.0,0.7,-0.3,1.0,2009-10,AnthonyParker2009-10
Leon Powe,SF,26,CLE,20,236,10.2,.515,.000,1.286,10.1,20.2,15.4,0.0,1.3,0.7,12.5,17.3,,0.1,0.3,0.5,.097,,-4.6,-1.1,-5.8,-0.2,2009-10,LeonPowe2009-10
Sebastian Telfair,PG,24,CLE,4,77,14.0,.518,.257,.171,0.0,5.9,3.1,27.1,1.4,0.0,13.7,26.4,,0.0,0.1,0.1,.065,,-2.0,-2.7,-4.7,-0.1,2009-10,SebastianTelfair2009-10
Anderson Varejão,PF,27,CLE,76,2166,15.8,.598,.011,.375,10.9,20.4,15.9,6.1,1.7,2.4,11.0,13.1,,4.3,3.8,8.1,.179,,0.1,1.2,1.3,1.8,2009-10,AndersonVarejão2009-10
Delonte West,SG,26,CLE,60,1500,13.8,.530,.177,.326,2.4,10.6,6.7,20.0,1.9,1.4,15.3,18.3,,1.3,2.0,3.3,.106,,-0.3,1.0,0.7,1.0,2009-10,DelonteWest2009-10
Jawad Williams,PG,26,CLE,54,742,8.2,.496,.451,.218,2.7,10.2,6.7,6.8,0.8,0.5,7.4,15.3,,0.3,0.7,1.1,.069,,-3.1,-1.0,-4.1,-0.4,2009-10,JawadWilliams2009-10
Mo Williams,PG,27,CLE,69,2359,16.1,.580,.434,.232,1.5,8.6,5.2,25.0,1.6,0.7,15.5,22.0,,4.0,2.7,6.7,.136,,2.2,-0.4,1.8,2.3,2009-10,MoWilliams2009-10
J.J. Barea,PG,25,DAL,78,1546,12.8,.526,.298,.171,1.3,9.5,5.4,26.1,1.2,0.3,15.3,19.9,,1.0,1.2,2.2,.069,,-0.6,-0.7,-1.3,0.3,2009-10,J.J.Barea2009-10
Rodrigue Beaubois,PG,21,DAL,56,700,18.5,.617,.368,.174,2.0,10.7,6.4,18.6,2.1,1.3,14.4,24.7,,1.1,0.8,2.0,.134,,1.3,0.2,1.5,0.6,2009-10,RodrigueBeaubois2009-10
Caron Butler,SG,29,DAL,27,930,14.2,.509,.140,.291,4.5,13.3,8.9,8.5,2.7,0.7,10.5,22.3,,0.2,1.2,1.4,.075,,-1.6,0.3,-1.3,0.2,2009-10,CaronButler2009-10
Matt Carroll,SG,29,DAL,25,121,7.1,.437,.380,.120,3.8,7.5,5.7,7.7,2.1,0.0,11.7,22.7,,-0.2,0.1,-0.1,-0.029,,-6.1,-1.5,-7.6,-0.2,2009-10,MattCarroll2009-10
Erick Dampier,C,34,DAL,55,1280,14.0,.637,.014,.474,11.6,24.1,17.9,3.5,0.6,4.5,19.2,11.4,,1.8,2.0,3.7,.140,,-1.6,1.0,-0.6,0.5,2009-10,ErickDampier2009-10
Drew Gooden,C,28,DAL,46,1030,16.1,.528,.018,.342,13.9,21.2,17.6,4.0,1.3,3.6,12.7,19.8,,1.1,1.6,2.7,.125,,-1.8,-0.4,-2.3,-0.1,2009-10,DrewGooden2009-10
Brendan Haywood,C,30,DAL,28,741,16.1,.582,.006,.558,12.2,19.9,16.1,5.0,0.6,5.8,14.1,14.0,,1.1,1.1,2.2,.144,,-0.4,1.0,0.6,0.5,2009-10,BrendanHaywood2009-10
Josh Howard,SF,29,DAL,31,827,12.0,.492,.219,.348,3.6,11.8,7.8,8.5,1.4,0.8,9.8,24.3,,0.0,0.8,0.8,.045,,-2.5,-1.1,-3.7,-0.4,2009-10,JoshHoward2009-10
