PLAYER,POS,AGE,TEAM,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP,SEASON,index
Lou Williams,SG,30,LAL,58,1403,23.9,.609,.432,.469,1.1,9.5,5.1,22.3,2.3,0.6,11.9,30.6,,4.3,0.6,4.9,.169,,6.2,-0.4,5.8,2.8,2016-17,LouWilliams2016-17
Metta World Peace,SF,37,LAL,25,160,6.5,.380,.559,.235,3.3,10.6,6.8,9.8,3.0,1.0,8.5,21.9,,-0.3,0.1,-0.2,-0.061,,-5.5,-0.7,-6.1,-0.2,2016-17,MettaWorldPeace2016-17
Nick Young,SG,31,LAL,60,1556,14.1,.588,.665,.142,1.7,8.2,4.8,5.8,1.2,0.7,5.1,19.5,,3.0,0.2,3.2,.098,,1.7,-1.8,-0.1,0.7,2016-17,NickYoung2016-17
Ivica Zubac,C,19,LAL,38,609,17.0,.547,.013,.206,7.1,21.9,14.3,8.1,1.1,4.4,10.4,20.3,,0.6,0.5,1.1,.086,,-1.2,-0.6,-1.7,0.0,2016-17,IvicaZubac2016-17
Tony Allen,SG,35,MEM,71,1914,13.3,.493,.091,.218,9.6,13.8,11.7,8.4,3.1,1.4,13.3,17.9,,0.2,2.9,3.1,.077,,-2.0,1.1,-1.0,0.5,2016-17,TonyAllen2016-17
Wade Baldwin,PG,20,MEM,33,405,6.5,.404,.191,.322,3.0,10.2,6.5,22.8,2.3,1.7,22.9,19.1,,-0.8,0.5,-0.3,-0.041,,-5.8,0.3,-5.5,-0.3,2016-17,WadeBaldwin2016-17
Vince Carter,SF,40,MEM,73,1799,11.7,.542,.604,.235,2.2,12.5,7.2,11.5,1.7,1.9,8.5,14.9,,1.9,2.1,4.0,.106,,-0.3,1.1,0.8,1.3,2016-17,VinceCarter2016-17
Mike Conley,PG,29,MEM,69,2292,23.2,.604,.415,.365,1.5,10.8,6.0,34.5,2.1,0.8,11.8,26.3,,7.5,2.5,10.0,.209,,6.0,0.8,6.8,5.1,2016-17,MikeConley2016-17
Troy Daniels,SG,25,MEM,67,1183,10.4,.531,.717,.109,2.1,7.8,4.8,6.6,0.9,0.3,8.0,21.7,,0.5,0.8,1.3,.051,,0.2,-1.9,-1.8,0.0,2016-17,TroyDaniels2016-17
Deyonta Davis,C,20,MEM,36,238,10.6,.528,.000,.383,9.3,19.8,14.4,1.3,0.7,6.8,12.7,12.0,,0.1,0.4,0.5,.097,,-5.0,0.4,-4.6,-0.2,2016-17,DeyontaDavis2016-17
Toney Douglas,PG,30,MEM,24,394,10.6,.451,.359,.248,3.7,14.3,8.9,22.2,2.4,1.2,13.9,17.4,,0.0,0.5,0.5,.059,,-3.2,1.8,-1.5,0.1,2016-17,ToneyDouglas2016-17
James Ennis III,SF,26,MEM,64,1501,10.6,.581,.427,.343,5.1,14.9,9.9,6.5,1.6,1.2,13.8,13.0,,1.4,1.7,3.1,.101,,-1.9,0.7,-1.2,0.3,2016-17,JamesEnnisIII2016-17
Marc Gasol,C,32,MEM,74,2531,20.3,.554,.231,.286,2.6,18.8,10.5,24.8,1.4,3.7,11.3,26.4,,4.2,3.5,7.7,.145,,3.8,1.4,5.2,4.6,2016-17,MarcGasol2016-17
JaMychal Green,PF,26,MEM,77,2101,13.5,.601,.290,.334,8.8,21.1,14.8,6.3,1.2,1.5,14.1,14.4,,3.2,2.6,5.8,.132,,-0.9,0.2,-0.8,0.6,2016-17,JaMychalGreen2016-17
Andrew Harrison,PG,22,MEM,72,1474,8.7,.477,.433,.539,1.7,9.0,5.3,20.0,1.9,1.4,16.0,16.4,,0.0,1.5,1.6,.051,,-4.0,0.6,-3.4,-0.5,2016-17,AndrewHarrison2016-17
Jarell Martin,PF,22,MEM,42,558,8.7,.477,.166,.331,8.4,25.3,16.6,2.2,1.6,1.5,13.9,16.4,,-0.2,0.8,0.6,.054,,-5.3,-0.6,-5.8,-0.5,2016-17,JarellMartin2016-17
Chandler Parsons,SF,28,MEM,34,675,7.7,.436,.419,.194,1.0,13.6,7.1,12.8,1.5,0.7,9.1,17.8,,-0.5,0.7,0.2,.015,,-3.6,-0.2,-3.8,-0.3,2016-17,ChandlerParsons2016-17
Zach Randolph,PF,35,MEM,73,1786,18.5,.490,.098,.200,11.3,27.4,19.2,13.5,1.1,0.5,8.6,29.2,,0.8,2.4,3.2,.086,,1.0,-1.6,-0.5,0.7,2016-17,ZachRandolph2016-17
Wayne Selden,SG,22,MEM,11,189,6.2,.475,.420,.360,0.6,6.2,3.3,9.9,1.1,0.5,13.4,16.1,,-0.1,0.1,0.0,-0.002,,-4.9,-1.6,-6.5,-0.2,2016-17,WayneSelden2016-17
Troy Williams,SF,22,MEM,24,418,7.8,.474,.333,.203,1.6,11.0,6.2,7.2,3.0,2.1,16.3,17.4,,-0.6,0.6,0.0,.004,,-5.6,1.2,-4.4,-0.3,2016-17,TroyWilliams2016-17
Brandan Wright,PF,29,MEM,28,447,18.5,.628,.007,.259,7.7,12.4,10.0,6.0,1.3,4.3,6.2,16.3,,1.1,0.5,1.6,.177,,1.0,0.7,1.7,0.4,2016-17,BrandanWright2016-17
Luke Babbitt,SF,27,MIA,68,1065,8.3,.563,.747,.053,1.2,13.5,7.3,4.8,0.9,0.8,8.0,13.0,,0.8,1.0,1.8,.081,,-2.0,-0.1,-2.0,0.0,2016-17,LukeBabbitt2016-17
Goran Dragić,PG,30,MIA,73,2459,19.8,.575,.257,.335,2.8,9.9,6.3,29.0,1.8,0.4,14.1,27.1,,5.0,2.6,7.5,.147,,2.7,-0.1,2.6,2.9,2016-17,GoranDragić2016-17
Wayne Ellington,SG,29,MIA,62,1500,12.6,.565,.710,.077,1.3,8.5,4.9,7.1,1.2,0.2,5.0,17.9,,2.1,1.2,3.3,.105,,0.8,-0.9,-0.1,0.7,2016-17,WayneEllington2016-17
Udonis Haslem,C,36,MIA,16,130,8.8,.524,.130,.652,6.7,24.1,15.3,6.4,2.3,0.6,21.3,12.8,,0.0,0.2,0.2,.074,,-6.1,0.9,-5.3,-0.1,2016-17,UdonisHaslem2016-17
James Johnson,PF,29,MIA,76,2085,17.0,.564,.333,.280,3.5,16.6,10.0,20.9,1.8,3.2,16.5,22.0,,1.9,3.2,5.1,.117,,1.1,1.7,2.8,2.5,2016-17,JamesJohnson2016-17
Tyler Johnson,PG,24,MIA,73,2178,15.9,.535,.303,.308,2.5,12.5,7.4,16.6,1.9,1.6,8.8,20.9,,3.1,2.7,5.8,.128,,0.4,1.0,1.4,1.8,2016-17,TylerJohnson2016-17
Rodney McGruder,SG,25,MIA,78,1966,9.1,.506,.478,.154,5.2,9.2,7.2,8.8,1.2,0.7,10.2,12.3,,1.2,1.7,2.9,.072,,-1.8,-0.1,-1.9,0.0,2016-17,RodneyMcGruder2016-17
Josh McRoberts,PF,29,MIA,22,381,9.8,.439,.263,.076,6.6,15.0,10.7,18.9,1.3,0.8,15.9,16.9,,-0.1,0.4,0.3,.036,,-1.9,0.2,-1.6,0.0,2016-17,JoshMcRoberts2016-17
Willie Reed,C,26,MIA,71,1031,17.1,.578,.014,.309,13.7,22.0,17.8,3.9,0.9,3.6,8.7,15.3,,2.1,1.5,3.6,.168,,-0.9,0.0,-0.9,0.3,2016-17,WillieReed2016-17
Josh Richardson,SG,23,MIA,53,1614,10.7,.493,.442,.150,2.4,9.2,5.8,12.7,1.9,1.9,10.6,16.8,,0.3,1.9,2.2,.066,,-2.0,0.9,-1.1,0.4,2016-17,JoshRichardson2016-17
Dion Waiters,SG,25,MIA,46,1384,14.5,.507,.324,.192,1.4,10.9,6.1,23.8,1.5,1.1,12.5,26.3,,0.2,1.5,1.6,.057,,0.3,-0.4,-0.1,0.7,2016-17,DionWaiters2016-17
Okaro White,PF,24,MIA,35,471,7.5,.507,.391,.253,5.8,13.5,9.6,6.0,1.1,1.7,15.7,10.8,,0.1,0.5,0.6,.066,,-3.6,0.4,-3.1,-0.1,2016-17,OkaroWhite2016-17
Hassan Whiteside,C,27,MIA,77,2513,22.6,.579,.000,.368,12.8,35.3,24.0,3.8,1.1,5.0,12.0,22.7,,4.2,5.3,9.5,.181,,0.9,0.5,1.5,2.2,2016-17,HassanWhiteside2016-17
Derrick Williams,PF,25,MIA,25,377,10.1,.465,.328,.365,4.7,16.9,10.7,5.6,1.2,1.0,8.1,20.4,,-0.1,0.4,0.3,.038,,-2.9,-0.5,-3.4,-0.1,2016-17,DerrickWilliams2016-17
Justise Winslow,SF,20,MIA,18,625,8.2,.399,.156,.209,4.0,12.7,8.3,15.5,2.1,0.8,11.8,19.8,,-0.9,0.8,-0.1,-0.009,,-4.6,0.8,-3.8,-0.3,2016-17,JustiseWinslow2016-17
Giannis Antetokounmpo,SF,22,MIL,80,2845,26.1,.599,.143,.486,5.9,22.6,14.3,26.6,2.3,4.7,13.3,28.3,,7.9,4.5,12.4,.210,,4.9,2.4,7.3,6.7,2016-17,GiannisAntetokounmpo2016-17
Michael Beasley,PF,28,MIL,56,935,17.8,.584,.106,.259,5.0,18.9,12.0,9.9,1.5,2.5,12.7,25.3,,0.8,1.0,1.8,.092,,0.0,-0.8,-0.8,0.3,2016-17,MichaelBeasley2016-17
Malcolm Brogdon,SG,24,MIL,75,1982,14.9,.555,.304,.198,2.8,9.6,6.3,24.3,2.2,0.5,14.1,18.5,,2.6,1.5,4.1,.100,,0.0,-0.4,-0.4,0.8,2016-17,MalcolmBrogdon2016-17
Matthew Dellavedova,PG,26,MIL,76,1986,9.4,.501,.403,.180,1.4,7.1,4.3,25.7,1.4,0.0,18.8,16.3,,0.3,0.9,1.2,.029,,-2.5,-1.8,-4.2,-1.1,2016-17,MatthewDellavedova2016-17
Spencer Hawes,PF,28,MIL,19,171,18.6,.620,.441,.305,4.1,26.3,15.3,17.7,0.6,2.1,11.9,20.3,,0.4,0.2,0.6,.160,,2.3,0.5,2.8,0.2,2016-17,SpencerHawes2016-17
John Henson,C,26,MIL,58,1123,15.3,.550,.003,.346,9.6,20.8,15.3,7.7,1.3,6.1,12.7,16.6,,1.2,1.6,2.7,.116,,-2.3,0.7,-1.6,0.1,2016-17,JohnHenson2016-17
Terrence Jones,PF,25,MIL,3,6,1.5,.000,.000,.000,0.0,57.6,29.1,0.0,8.5,14.7,0.0,22.8,,-0.1,0.0,0.0,-0.312,,-13.4,2.9,-10.6,0.0,2016-17,TerrenceJones2016-17
Thon Maker,C,19,MIL,57,562,14.0,.558,.409,.271,8.4,15.2,11.8,6.2,0.9,4.1,7.7,17.8,,0.8,0.5,1.3,.113,,-1.1,-0.9,-2.0,0.0,2016-17,ThonMaker2016-17
Khris Middleton,SF,25,MIL,29,889,15.0,.570,.312,.276,1.5,14.5,8.1,17.5,2.3,0.7,14.8,22.5,,0.7,0.9,1.6,.085,,-0.4,0.1,-0.3,0.4,2016-17,KhrisMiddleton2016-17
Greg Monroe,C,26,MIL,81,1823,21.1,.572,.006,.329,10.8,23.1,17.0,17.3,2.6,1.8,14.4,24.3,,3.0,2.6,5.6,.147,,1.3,0.5,1.8,1.7,2016-17,GregMonroe2016-17
Steve Novak,PF,33,MIL,8,22,1.3,.357,.857,.000,0.0,15.7,7.9,0.0,0.0,0.0,0.0,14.5,,0.0,0.0,0.0,-0.075,,-6.3,-4.9,-11.2,-0.1,2016-17,SteveNovak2016-17
Jabari Parker,PF,21,MIL,51,1728,19.1,.563,.219,.268,5.4,15.7,10.6,14.3,1.5,1.1,9.3,26.5,,2.6,1.5,4.0,.112,,2.1,-1.4,0.7,1.2,2016-17,JabariParker2016-17
Gary Payton II,PG,24,MIL,6,99,4.5,.413,.409,.227,0.0,14.0,7.1,18.1,1.5,3.6,29.2,15.8,,-0.3,0.1,-0.2,-0.074,,-6.3,-0.2,-6.5,-0.1,2016-17,GaryPaytonII2016-17
Miles Plumlee,C,28,MIL,32,310,8.0,.492,.000,.515,8.7,11.1,10.0,8.2,1.8,2.6,20.9,15.5,,-0.2,0.3,0.1,.021,,-5.1,-0.2,-5.4,-0.3,2016-17,MilesPlumlee2016-17
Tony Snell,SG,25,MIL,80,2336,9.7,.603,.656,.107,1.1,11.1,6.2,5.9,1.2,0.5,8.8,12.1,,2.1,1.3,3.4,.071,,-1.0,-0.7,-1.7,0.2,2016-17,TonySnell2016-17
Mirza Teletović,PF,31,MIL,70,1133,8.8,.515,.730,.108,1.1,15.4,8.3,6.4,0.5,1.0,7.8,19.1,,-0.1,0.7,0.6,.025,,-1.7,-2.1,-3.8,-0.5,2016-17,MirzaTeletović2016-17
Jason Terry,SG,39,MIL,74,1365,9.1,.600,.704,.119,1.3,7.7,4.5,9.9,1.7,1.3,12.3,9.8,,1.2,0.9,2.1,.075,,-1.4,0.5,-0.9,0.4,2016-17,JasonTerry2016-17
Axel Toupane,SF,24,MIL,2,6,-9.9,.000,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.6,,0.0,0.0,0.0,-0.191,,-13.2,-5.7,-18.8,0.0,2016-17,AxelToupane2016-17
Rashad Vaughn,SG,20,MIL,41,458,7.8,.449,.519,.032,1.0,11.3,6.2,7.4,2.1,1.9,8.1,17.2,,-0.5,0.4,0.0,-0.005,,-3.2,-0.4,-3.6,-0.2,2016-17,RashadVaughn2016-17
Cole Aldrich,C,28,MIN,62,531,12.7,.549,.000,.256,11.0,23.9,17.4,6.4,2.4,3.7,15.1,9.4,,0.6,0.7,1.3,.116,,-2.3,1.5,-0.8,0.2,2016-17,ColeAldrich2016-17
Nemanja Bjelica,PF,28,MIN,65,1190,11.0,.526,.497,.171,5.5,18.6,12.0,9.6,1.7,1.4,13.4,16.4,,0.6,0.9,1.5,.059,,-1.8,0.2,-1.6,0.1,2016-17,NemanjaBjelica2016-17
Omri Casspi,PF,28,MIN,13,222,7.5,.542,.263,.211,3.1,7.5,5.3,6.8,3.0,0.8,19.4,10.3,,0.0,0.2,0.1,.032,,-4.3,0.4,-3.9,-0.1,2016-17,OmriCasspi2016-17
Gorgui Dieng,PF,27,MIN,82,2653,14.2,.555,.065,.253,8.1,20.5,14.2,8.6,1.7,3.1,12.7,14.0,,3.2,2.5,5.7,.103,,-0.8,0.6,-0.1,1.3,2016-17,GorguiDieng2016-17
Kris Dunn,PG,22,MIN,78,1333,8.1,.432,.233,.188,2.1,12.6,7.3,19.4,3.0,2.3,20.8,14.2,,-1.2,1.3,0.1,.004,,-4.5,1.8,-2.8,-0.3,2016-17,KrisDunn2016-17
Jordan Hill,C,29,MIN,7,47,5.5,.432,.000,.154,19.6,15.1,17.4,0.0,1.1,0.0,22.4,16.8,,-0.1,0.0,0.0,-0.033,,-7.1,-5.2,-12.3,-0.1,2016-17,JordanHill2016-17
Tyus Jones,PG,20,MIN,60,774,13.8,.523,.403,.238,1.5,8.7,5.0,28.0,3.1,0.6,16.0,13.6,,1.0,0.6,1.5,.096,,-0.6,0.7,0.2,0.4,2016-17,TyusJones2016-17
Zach LaVine,SG,21,MIN,47,1749,14.6,.576,.437,.197,1.2,9.5,5.3,12.6,1.2,0.5,9.9,21.7,,2.6,0.4,3.0,.082,,1.5,-1.4,0.1,0.9,2016-17,ZachLaVine2016-17
John Lucas III,PG,34,MIN,5,11,9.1,.250,.250,.000,0.0,0.0,0.0,12.5,9.2,0.0,0.0,16.1,,0.0,0.0,0.0,-0.033,,-4.0,7.1,3.1,0.0,2016-17,JohnLucasIII2016-17
Shabazz Muhammad,SF,24,MIN,78,1516,14.9,.566,.242,.318,6.4,10.6,8.5,3.7,0.7,0.3,7.6,21.5,,2.5,0.2,2.7,.086,,0.5,-2.9,-2.4,-0.1,2016-17,ShabazzMuhammad2016-17
Adreian Payne,PF,25,MIN,18,135,14.4,.505,.278,.352,7.7,21.0,14.3,8.0,3.0,4.4,11.4,23.1,,0.0,0.2,0.2,.086,,-3.8,1.5,-2.3,0.0,2016-17,AdreianPayne2016-17
Ricky Rubio,PG,26,MIN,75,2469,16.8,.539,.302,.438,3.2,11.4,7.2,38.9,2.6,0.3,20.1,17.4,,4.5,1.7,6.1,.119,,1.2,-0.2,0.9,1.8,2016-17,RickyRubio2016-17
Brandon Rush,SG,31,MIN,47,1030,6.6,.505,.610,.096,1.8,9.5,5.6,5.8,1.1,1.9,12.6,9.6,,0.1,0.3,0.4,.019,,-2.0,-0.5,-2.5,-0.1,2016-17,BrandonRush2016-17
Lance Stephenson,SG,26,MIN,6,67,6.6,.480,.095,.095,0.0,17.7,8.7,11.2,0.0,0.0,15.5,17.1,,-0.1,0.0,-0.1,-0.045,,-4.7,-2.6,-7.3,-0.1,2016-17,LanceStephenson2016-17
Karl-Anthony Towns,C,21,MIN,82,3030,25.9,.618,.186,.289,11.2,27.8,19.4,13.2,0.9,2.9,11.3,27.5,,9.9,2.8,12.7,.201,,5.5,-0.7,4.7,5.2,2016-17,Karl-AnthonyTowns2016-17
Andrew Wiggins,SF,21,MIN,82,3048,16.5,.534,.184,.345,3.8,8.8,6.3,10.6,1.4,0.8,9.4,29.0,,3.3,0.9,4.2,.066,,0.7,-2.4,-1.7,0.2,2016-17,AndrewWiggins2016-17
Alexis Ajinça,C,28,NOP,39,584,12.9,.529,.022,.225,8.3,23.8,16.0,3.1,1.7,3.1,13.7,17.2,,0.0,0.9,1.0,.080,,-4.0,0.7,-3.3,-0.2,2016-17,AlexisAjinça2016-17
Ömer Aşık,C,30,NOP,31,482,9.8,.517,.000,.600,10.4,25.3,17.8,4.2,0.5,1.7,14.6,8.8,,0.4,0.6,1.0,.100,,-3.6,-0.1,-3.7,-0.2,2016-17,ÖmerAşık2016-17
Anthony Brown,SF,24,NOP,9,143,5.9,.415,.585,.000,4.4,14.8,9.6,5.9,1.7,0.6,10.9,14.2,,-0.2,0.2,0.0,-0.007,,-5.0,0.5,-4.5,-0.1,2016-17,AnthonyBrown2016-17
Omri Casspi,PF,28,NOP,1,24,10.0,.667,.444,.000,4.4,4.4,4.4,0.0,0.0,0.0,18.2,20.3,,0.0,0.0,0.0,.015,,-2.0,-3.3,-5.3,0.0,2016-17,OmriCasspi2016-17
Quinn Cook,PG,23,NOP,9,111,15.3,.614,.293,.073,0.9,2.9,1.9,20.7,1.3,0.0,10.6,18.9,,0.2,0.1,0.3,.110,,0.0,-1.0,-1.0,0.0,2016-17,QuinnCook2016-17
DeMarcus Cousins,C,26,NOP,17,574,23.2,.564,.306,.385,6.8,32.2,19.4,20.6,2.1,2.7,14.4,33.1,,0.5,1.1,1.6,.136,,3.0,2.5,5.5,1.1,2016-17,DeMarcusCousins2016-17
Jordan Crawford,SG,28,NOP,19,442,17.6,.582,.436,.119,0.9,7.2,4.1,22.7,1.2,0.4,9.8,25.5,,0.6,0.3,0.9,.102,,2.2,-0.9,1.3,0.4,2016-17,JordanCrawford2016-17
Dante Cunningham,PF,29,NOP,66,1649,10.2,.586,.504,.075,3.6,14.2,8.9,3.2,1.2,1.4,7.0,10.7,,1.4,1.6,3.0,.088,,-1.9,0.3,-1.6,0.2,2016-17,DanteCunningham2016-17
Anthony Davis,C,23,NOP,75,2708,27.5,.580,.088,.424,6.7,27.9,17.2,11.1,1.7,5.1,9.1,32.6,,5.9,5.1,11.0,.195,,4.4,1.4,5.9,5.4,2016-17,AnthonyDavis2016-17
Cheick Diallo,PF,20,NOP,17,199,16.8,.510,.000,.276,12.1,26.7,19.4,3.2,1.0,2.9,7.6,20.5,,0.2,0.3,0.5,.111,,-1.8,-1.9,-3.7,-0.1,2016-17,CheickDiallo2016-17
Tyreke Evans,SF,27,NOP,26,474,15.8,.491,.308,.256,1.3,17.9,9.6,31.3,2.4,0.7,13.4,27.2,,-0.1,0.7,0.5,.053,,-0.9,0.9,0.0,0.2,2016-17,TyrekeEvans2016-17
Tim Frazier,PG,26,NOP,65,1525,12.4,.504,.317,.319,2.3,9.7,6.0,31.4,1.8,0.3,18.0,16.3,,1.0,1.4,2.4,.075,,-2.5,-0.2,-2.7,-0.3,2016-17,TimFrazier2016-17
Langston Galloway,PG,25,NOP,55,1120,11.2,.508,.608,.118,1.9,9.6,5.7,8.8,1.7,0.4,5.7,19.5,,0.2,1.0,1.2,.052,,-1.2,-0.2,-1.5,0.1,2016-17,LangstonGalloway2016-17
Archie Goodwin,SG,22,NOP,3,30,19.7,.798,.400,2.000,0.0,0.0,0.0,4.5,0.0,2.7,0.0,13.9,,0.2,0.0,0.2,.291,,3.0,0.3,3.3,0.0,2016-17,ArchieGoodwin2016-17
Buddy Hield,SG,24,NOP,57,1161,9.9,.503,.512,.070,1.7,13.4,7.5,10.3,0.8,0.5,9.0,20.4,,-0.4,0.9,0.5,.020,,-1.7,-1.1,-2.8,-0.2,2016-17,BuddyHield2016-17
Solomon Hill,SF,25,NOP,80,2374,8.0,.527,.565,.268,2.3,11.4,6.8,8.1,1.5,1.1,13.3,11.5,,0.4,2.3,2.7,.055,,-3.5,0.8,-2.7,-0.4,2016-17,SolomonHill2016-17
Jrue Holiday,PG,26,NOP,67,2190,17.1,.532,.315,.188,2.2,10.6,6.4,35.9,2.2,1.6,16.7,23.5,,1.3,2.6,3.8,.084,,1.0,0.2,1.3,1.8,2016-17,JrueHoliday2016-17
Jarrett Jack,PG,33,NOP,2,33,7.7,.773,.333,.667,0.0,0.0,0.0,20.3,3.0,0.0,43.6,9.2,,0.0,0.0,0.0,.060,,-4.8,3.4,-1.4,0.0,2016-17,JarrettJack2016-17
Terrence Jones,PF,25,NOP,51,1264,16.2,.518,.153,.348,5.4,20.0,12.6,7.5,1.5,3.4,7.8,21.4,,0.5,1.8,2.3,.088,,-0.9,0.4,-0.5,0.5,2016-17,TerrenceJones2016-17
E'Twaun Moore,SG,27,NOP,73,1820,12.1,.537,.336,.120,1.9,6.9,4.4,13.8,1.3,1.4,8.7,17.4,,1.2,1.5,2.7,.070,,-1.7,0.1,-1.6,0.2,2016-17,E'TwaunMoore2016-17
Donatas Motiejūnas,PF,26,NOP,34,479,9.1,.470,.341,.355,5.7,16.6,11.1,9.7,1.8,1.9,16.3,17.6,,-0.5,0.6,0.2,.016,,-4.5,0.3,-4.3,-0.3,2016-17,DonatasMotiejūnas2016-17
Wayne Selden,SG,22,NOP,3,47,10.0,.820,.875,.500,0.0,11.3,5.6,3.0,2.1,0.0,23.5,12.0,,0.0,0.0,0.1,.089,,-3.3,1.6,-1.8,0.0,2016-17,WayneSelden2016-17
Lance Stephenson,SG,26,NOP,6,162,10.3,.496,.182,.145,1.9,9.8,5.9,27.7,0.6,0.5,15.8,19.0,,0.0,0.1,0.1,.027,,-3.3,-0.4,-3.6,-0.1,2016-17,LanceStephenson2016-17
Hollis Thompson,SG,25,NOP,9,191,4.7,.378,.585,.220,2.2,13.3,7.7,6.3,1.5,0.0,4.3,10.9,,-0.2,0.2,0.0,.007,,-4.7,1.6,-3.1,-0.1,2016-17,HollisThompson2016-17
Axel Toupane,SF,24,NOP,2,41,8.6,.688,.375,.000,0.0,2.6,1.3,0.0,1.2,2.0,0.0,8.6,,0.1,0.0,0.1,.098,,-4.4,0.0,-4.4,0.0,2016-17,AxelToupane2016-17
Reggie Williams,SF,30,NOP,6,79,11.7,.518,.478,.304,2.7,5.4,4.0,7.2,1.9,0.0,0.0,14.6,,0.1,0.1,0.2,.098,,-0.4,-0.4,-0.8,0.0,2016-17,ReggieWilliams2016-17
Carmelo Anthony,SF,32,NYK,74,2538,17.9,.535,.303,.263,2.6,16.0,9.3,14.5,1.2,1.1,9.0,29.1,,3.2,1.5,4.7,.089,,2.3,-1.6,0.7,1.7,2016-17,CarmeloAnthony2016-17
Ron Baker,SG,23,NYK,52,857,7.5,.456,.396,.198,1.5,10.8,6.2,17.3,2.0,0.8,19.2,14.8,,-0.6,0.5,-0.1,-0.008,,-4.5,-0.3,-4.7,-0.6,2016-17,RonBaker2016-17
Willy Hernangómez,C,22,NYK,72,1324,19.0,.564,.032,.269,13.8,27.1,20.4,11.5,1.5,2.2,16.1,20.3,,1.8,1.6,3.4,.123,,0.3,-0.5,-0.3,0.6,2016-17,WillyHernangómez2016-17
Justin Holiday,SG,27,NYK,82,1639,12.7,.549,.507,.149,1.8,13.1,7.4,9.2,2.0,1.5,10.3,16.9,,1.3,1.2,2.5,.073,,-0.5,0.2,-0.3,0.7,2016-17,JustinHoliday2016-17
Brandon Jennings,PG,27,NYK,58,1428,12.7,.508,.466,.315,1.6,9.9,5.7,28.6,1.9,0.2,17.8,18.1,,0.8,0.7,1.5,.052,,-0.8,-1.2,-2.0,0.0,2016-17,BrandonJennings2016-17
Mindaugas Kuzminskas,SF,27,NYK,68,1016,12.4,.533,.455,.184,5.0,8.4,6.7,10.3,1.4,0.9,11.3,19.2,,0.8,0.4,1.2,.055,,-0.6,-1.4,-1.9,0.0,2016-17,MindaugasKuzminskas2016-17
Courtney Lee,SG,31,NYK,77,2459,12.2,.559,.382,.139,2.3,9.0,5.7,10.6,1.6,0.8,8.5,14.4,,3.1,1.1,4.2,.081,,-0.7,-0.2,-0.9,0.7,2016-17,CourtneyLee2016-17
Maurice Ndour,PF,24,NYK,32,331,11.3,.503,.081,.302,7.1,13.7,10.4,3.5,2.3,2.0,11.0,14.3,,0.1,0.3,0.4,.059,,-2.9,0.1,-2.8,-0.1,2016-17,MauriceNdour2016-17
Joakim Noah,C,31,NYK,46,1015,15.2,.491,.005,.386,17.1,25.6,21.4,14.1,1.5,3.0,19.7,12.6,,1.0,1.2,2.2,.106,,-0.9,0.4,-0.5,0.4,2016-17,JoakimNoah2016-17
Kyle O'Quinn,C,26,NYK,79,1229,20.5,.552,.041,.201,13.7,24.8,19.2,14.8,1.5,6.9,14.5,18.5,,2.1,1.8,3.9,.151,,0.2,1.7,1.9,1.2,2016-17,KyleO'Quinn2016-17
Marshall Plumlee,C,24,NYK,21,170,10.9,.521,.000,.633,14.5,17.8,16.2,8.1,1.2,1.9,23.8,12.8,,0.0,0.1,0.2,.048,,-3.6,-1.0,-4.6,-0.1,2016-17,MarshallPlumlee2016-17
Kristaps Porziņģis,PF,21,NYK,66,2164,17.4,.546,.319,.256,5.5,18.2,11.8,7.3,1.1,4.9,9.7,24.3,,2.4,2.1,4.5,.100,,0.7,-0.3,0.3,1.3,2016-17,KristapsPorziņģis2016-17
Chasson Randle,PG,23,NYK,18,225,12.3,.555,.444,.431,2.9,10.1,6.5,18.0,1.3,0.4,15.7,19.6,,0.3,0.1,0.4,.075,,-2.0,-1.3,-3.2,-0.1,2016-17,ChassonRandle2016-17
Derrick Rose,PG,28,NYK,64,2082,17.0,.530,.061,.259,3.4,9.3,6.4,22.8,1.1,0.7,11.9,25.7,,2.4,0.6,3.0,.068,,1.0,-2.0,-1.0,0.5,2016-17,DerrickRose2016-17
Lance Thomas,PF,28,NYK,46,968,8.4,.516,.348,.209,3.5,12.3,7.9,5.0,1.1,0.4,8.6,13.1,,0.6,0.4,0.9,.046,,-2.4,-1.1,-3.5,-0.4,2016-17,LanceThomas2016-17
Sasha Vujačić,SG,32,NYK,42,408,8.6,.423,.544,.176,3.2,12.4,7.8,17.9,1.6,0.4,9.8,17.3,,-0.1,0.2,0.1,.014,,-2.7,-0.5,-3.2,-0.1,2016-17,SashaVujačić2016-17
Álex Abrines,SG,23,OKC,68,1055,10.1,.560,.724,.144,1.9,7.1,4.5,5.5,1.7,0.6,8.3,15.9,,1.2,0.9,2.1,.096,,-1.3,-0.4,-1.6,0.1,2016-17,ÁlexAbrines2016-17
Steven Adams,C,23,OKC,80,2389,16.5,.589,.002,.392,13.0,15.4,14.2,5.4,1.8,2.6,16.0,16.2,,3.3,3.1,6.5,.130,,-0.2,0.0,-0.2,1.1,2016-17,StevenAdams2016-17
