,PLAYER,POS,AGE,TEAM,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 29,ORtg,DRtg,SEASON,index
265,Jermaine O'Neal,C,31,MIA,70,70,1991,10.6,20.0,.529,0.0,0.1,.000,10.6,20.0,.530,4.4,6.1,.720,3.3,9.7,13.1,2.5,0.7,2.6,3.4,5.7,25.6,,108,103,2009-10,JermaineO'Neal2009-10
266,Shavlik Randolph,PF,26,MIA,3,0,47,5.7,17.1,.333,0.0,0.0,,5.7,17.1,.333,0.0,0.0,,8.0,6.8,14.8,0.0,1.1,1.1,2.3,10.3,11.4,,83,105,2009-10,ShavlikRandolph2009-10
267,Quentin Richardson,SF,29,MIA,76,75,2082,6.2,14.4,.431,3.7,9.2,.397,2.6,5.2,.493,1.3,1.8,.732,1.6,8.0,9.6,2.4,1.8,0.5,1.6,4.3,17.4,,114,104,2009-10,QuentinRichardson2009-10
268,Dwyane Wade,SG,28,MIA,77,77,2792,13.8,29.0,.476,1.4,4.7,.300,12.4,24.3,.509,10.2,13.5,.761,2.1,5.1,7.2,9.6,2.7,1.6,4.8,3.5,39.2,,113,103,2009-10,DwyaneWade2009-10
269,Dorell Wright,SF,24,MIA,72,1,1496,6.9,15.0,.463,2.2,5.6,.389,4.8,9.4,.508,2.2,2.5,.884,1.8,6.6,8.4,3.3,1.9,1.1,1.9,3.4,18.3,,114,104,2009-10,DorellWright2009-10
270,Charlie Bell,SG,30,MIL,71,39,1611,5.5,14.4,.381,2.4,6.5,.365,3.1,7.9,.395,1.6,2.2,.716,1.0,3.3,4.3,3.4,1.3,0.4,1.8,4.4,14.9,,100,106,2009-10,CharlieBell2009-10
271,Andrew Bogut,C,25,MIL,69,69,2229,11.1,21.4,.520,0.0,0.0,.000,11.1,21.3,.521,3.5,5.6,.629,4.9,11.6,16.5,3.0,0.9,4.1,3.1,5.2,25.7,,107,98,2009-10,AndrewBogut2009-10
272,Primož Brezec,C,30,MIL,14,0,59,6.2,11.5,.538,0.0,0.0,,6.2,11.5,.538,0.0,3.5,.000,5.3,6.2,11.5,0.9,0.0,1.8,1.8,8.9,12.4,,98,106,2009-10,PrimožBrezec2009-10
273,Carlos Delfino,SF,27,MIL,75,66,2279,6.9,16.8,.408,3.1,8.4,.367,3.8,8.4,.450,2.1,2.7,.782,1.2,7.9,9.1,4.6,1.8,0.5,2.7,3.2,19.0,,103,103,2009-10,CarlosDelfino2009-10
274,Francisco Elson,C,33,MIL,11,0,62,3.4,11.0,.308,0.0,0.0,,3.4,11.0,.308,1.7,1.7,1.000,4.2,6.8,11.0,1.7,0.8,0.0,0.8,5.9,8.4,,94,106,2009-10,FranciscoElson2009-10
