,PLAYER,POS,AGE,TEAM,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 29,ORtg,DRtg,SEASON,index
3491,Jarnell Stokes,C,22,MIA,5,0,14,11.0,18.3,.600,0.0,0.0,,11.0,18.3,.600,3.7,7.3,.500,0.0,7.3,7.3,3.7,3.7,0.0,0.0,3.7,25.6,,126,101,2015-16,JarnellStokes2015-16
3492,Amar'e Stoudemire,C,33,MIA,52,36,762,8.4,14.9,.566,0.0,0.0,,8.4,14.9,.566,3.4,4.5,.746,4.4,10.6,14.9,1.8,1.2,2.8,3.2,6.2,20.2,,111,101,2015-16,Amar'eStoudemire2015-16
3493,Beno Udrih,PG,33,MIA,36,5,587,5.8,13.3,.434,1.0,2.9,.333,4.8,10.4,.462,1.3,1.5,.882,0.5,5.0,5.5,7.9,1.0,0.0,3.7,3.5,13.8,,96,108,2015-16,BenoUdrih2015-16
3494,Dwyane Wade,SG,34,MIA,74,73,2258,12.3,26.9,.456,0.2,1.0,.159,12.1,25.9,.468,7.3,9.2,.793,1.9,5.0,6.9,7.8,1.8,1.0,4.6,2.6,32.0,,103,106,2015-16,DwyaneWade2015-16
3495,Briante Weber,PG,23,MIA,1,0,3,17.1,17.1,1.000,0.0,0.0,,17.1,17.1,1.000,0.0,0.0,,0.0,17.1,17.1,17.1,0.0,0.0,0.0,17.1,34.2,,203,103,2015-16,BrianteWeber2015-16
3496,Hassan Whiteside,C,26,MIA,73,43,2125,10.0,16.5,.606,0.0,0.0,,10.0,16.5,.606,5.2,7.9,.650,5.7,15.1,20.9,0.7,1.1,6.5,3.3,4.9,25.1,,117,95,2015-16,HassanWhiteside2015-16
3497,Justise Winslow,SF,19,MIA,78,8,2232,4.5,10.6,.422,0.7,2.7,.276,3.7,8.0,.471,1.8,2.7,.684,1.9,7.4,9.3,2.7,1.6,0.6,2.2,4.2,11.5,,97,105,2015-16,JustiseWinslow2015-16
3498,Giannis Antetokounmpo,PG,21,MIL,80,79,2823,9.3,18.3,.506,0.5,2.0,.257,8.8,16.3,.537,5.3,7.4,.724,2.0,9.0,11.0,6.2,1.7,2.0,3.8,4.7,24.4,,109,106,2015-16,GiannisAntetokounmpo2015-16
3499,Jerryd Bayless,SG,27,MIL,52,18,1505,6.3,14.8,.423,3.4,7.8,.437,2.8,7.0,.408,2.4,3.0,.778,0.7,4.1,4.8,5.5,1.6,0.4,2.5,3.8,18.3,,110,112,2015-16,JerrydBayless2015-16
3500,Michael Carter-Williams,PG,24,MIL,54,37,1649,7.8,17.1,.452,0.5,1.7,.273,7.3,15.4,.472,3.3,5.0,.654,1.5,7.0,8.5,8.7,2.5,1.3,4.7,5.0,19.2,,96,107,2015-16,MichaelCarter-Williams2015-16
3501,Chris Copeland,PF,31,MIL,24,1,156,5.6,16.7,.333,3.3,11.8,.278,2.3,4.9,.467,2.0,2.3,.857,0.3,2.9,3.3,3.6,0.7,0.0,2.0,5.6,16.3,,94,115,2015-16,ChrisCopeland2015-16
3502,Jared Cunningham,SG,24,MIL,4,0,55,3.7,13.0,.286,1.9,6.5,.286,1.9,6.5,.286,5.6,6.5,.857,0.0,8.3,8.3,0.9,1.9,0.0,2.8,3.7,14.8,,87,109,2015-16,JaredCunningham2015-16
3503,Tyler Ennis,PG,21,MIL,46,7,654,6.5,14.6,.449,1.0,3.0,.333,5.5,11.5,.480,1.9,2.6,.735,1.0,4.8,5.8,7.4,1.9,0.1,3.6,5.0,16.0,,99,111,2015-16,TylerEnnis2015-16
3504,John Henson,C,25,MIL,57,1,960,8.7,15.4,.564,0.0,0.1,.000,8.7,15.4,.566,3.7,6.2,.590,4.6,7.1,11.7,2.9,1.0,5.8,3.4,7.0,21.1,,108,105,2015-16,JohnHenson2015-16
3505,Damien Inglis,SF,20,MIL,20,1,156,4.2,12.1,.351,1.0,4.2,.231,3.3,7.8,.417,2.3,2.6,.875,0.7,9.5,10.1,3.3,2.0,1.0,3.6,3.6,11.8,,81,107,2015-16,DamienInglis2015-16
3506,O.J. Mayo,SG,28,MIL,41,24,1090,5.6,15.0,.371,2.4,7.6,.321,3.1,7.4,.421,1.4,1.9,.775,0.6,4.3,4.9,5.5,2.2,0.4,3.4,5.9,15.0,,91,110,2015-16,O.J.Mayo2015-16
3507,Khris Middleton,SG,24,MIL,79,79,2852,9.1,20.4,.444,2.6,6.4,.396,6.5,13.9,.466,4.9,5.6,.888,0.8,4.6,5.4,5.9,2.3,0.3,3.2,3.6,25.6,,109,110,2015-16,KhrisMiddleton2015-16
3508,Greg Monroe,C,25,MIL,79,67,2314,10.8,20.7,.522,0.0,0.0,.000,10.8,20.7,.522,5.0,6.8,.740,4.8,10.5,15.3,3.9,1.6,1.5,2.8,3.6,26.6,,113,106,2015-16,GregMonroe2015-16
3509,Steve Novak,PF,32,MIL,3,0,20,5.1,15.3,.333,5.1,15.3,.333,0.0,0.0,,2.5,2.5,1.000,0.0,2.5,2.5,0.0,0.0,0.0,0.0,5.1,17.8,,115,117,2015-16,SteveNovak2015-16
3510,Johnny O'Bryant,PF,22,MIL,66,4,857,5.1,12.4,.411,0.1,0.1,1.000,5.1,12.4,.409,1.6,2.4,.675,3.9,6.6,10.5,1.9,1.1,0.5,1.8,5.9,11.9,,96,111,2015-16,JohnnyO'Bryant2015-16
3511,Jabari Parker,PF,20,MIL,76,72,2408,9.4,19.0,.493,0.2,0.7,.257,9.2,18.3,.502,3.7,4.8,.768,2.6,5.8,8.4,2.7,1.5,0.6,2.5,3.3,22.6,,106,111,2015-16,JabariParker2015-16
3512,Miles Plumlee,C,27,MIL,61,14,870,8.2,13.6,.601,0.0,0.0,,8.2,13.6,.601,2.0,3.5,.576,5.5,8.1,13.6,0.9,1.2,2.9,2.3,4.3,18.4,,115,107,2015-16,MilesPlumlee2015-16
3513,Greivis Vásquez,PG,29,MIL,23,0,460,5.0,15.3,.326,2.0,8.1,.247,3.0,7.2,.415,2.4,2.9,.846,0.6,4.7,5.2,10.1,1.1,0.0,4.4,4.7,14.4,,90,113,2015-16,GreivisVásquez2015-16
3514,Rashad Vaughn,SG,19,MIL,70,6,1001,4.1,13.5,.305,2.2,7.5,.293,1.9,6.1,.319,0.6,0.8,.800,0.6,3.9,4.5,2.0,1.5,0.8,1.4,3.7,11.0,,83,112,2015-16,RashadVaughn2015-16
3515,Nemanja Bjelica,PF,27,MIN,60,0,1075,5.2,11.0,.468,2.3,5.9,.384,2.9,5.2,.564,1.9,2.6,.727,2.3,7.5,9.8,3.9,1.2,1.0,2.2,7.2,14.4,,114,110,2015-16,NemanjaBjelica2015-16
3516,Gorgui Dieng,C,26,MIN,82,39,2220,7.0,13.1,.532,0.1,0.5,.300,6.9,12.7,.540,4.7,5.6,.827,3.6,9.7,13.3,3.2,2.1,2.2,3.2,5.0,18.8,,113,106,2015-16,GorguiDieng2015-16
3517,Kevin Garnett,PF,39,MIN,38,38,556,4.9,10.4,.470,0.0,0.1,.000,4.9,10.3,.474,1.3,1.9,.667,1.4,12.2,13.6,5.6,2.5,0.9,1.5,6.3,11.1,,107,105,2015-16,KevinGarnett2015-16
3518,Tyus Jones,PG,19,MIN,37,0,573,4.9,13.7,.359,1.4,4.7,.302,3.5,9.1,.388,2.5,3.4,.718,0.6,3.5,4.1,9.5,2.7,0.3,2.9,2.9,13.7,,98,111,2015-16,TyusJones2015-16
3519,Zach LaVine,SG,20,MIN,82,33,2294,9.5,21.1,.452,2.7,6.9,.389,6.8,14.1,.482,3.5,4.5,.793,0.6,4.4,5.0,5.5,1.5,0.4,3.4,4.2,25.3,,104,112,2015-16,ZachLaVine2015-16
3520,Kevin Martin,SG,32,MIN,39,12,834,7.6,20.2,.377,2.3,6.2,.369,5.3,14.0,.381,7.6,8.6,.880,0.6,4.3,4.9,2.8,1.0,0.1,2.5,4.1,25.1,,104,114,2015-16,KevinMartin2015-16
3521,Andre Miller,PG,39,MIN,26,0,280,6.5,10.4,.621,0.2,0.7,.250,6.3,9.7,.648,2.7,3.4,.789,1.1,3.2,4.3,10.4,1.6,0.0,4.5,5.8,15.8,,114,113,2015-16,AndreMiller2015-16
3522,Shabazz Muhammad,SF,23,MIN,82,0,1682,9.5,20.4,.465,1.3,4.6,.289,8.2,15.9,.516,5.5,7.3,.764,3.0,5.0,8.0,1.6,0.7,0.2,2.1,2.8,25.9,,110,114,2015-16,ShabazzMuhammad2015-16
3523,Adreian Payne,PF,24,MIN,52,2,486,5.5,15.0,.366,0.9,3.3,.281,4.6,11.7,.389,1.8,2.7,.654,2.1,9.4,11.5,3.0,1.7,1.1,3.7,8.0,13.7,,81,108,2015-16,AdreianPayne2015-16
3524,Nikola Peković,C,30,MIN,12,3,156,6.1,16.2,.380,0.0,0.0,,6.1,16.2,.380,5.2,6.5,.800,2.3,4.5,6.8,3.6,0.3,0.0,2.9,7.1,17.4,,94,115,2015-16,NikolaPeković2015-16
3525,Tayshaun Prince,SF,35,MIN,77,44,1462,3.5,7.9,.445,0.1,0.8,.174,3.4,7.1,.476,0.4,0.7,.684,1.1,4.0,5.1,2.5,1.2,0.4,0.9,2.1,7.6,,100,113,2015-16,TayshaunPrince2015-16
3526,Ricky Rubio,PG,25,MIN,76,76,2323,4.8,12.7,.374,1.3,4.1,.326,3.4,8.6,.396,5.8,6.8,.847,0.9,6.2,7.1,14.3,3.5,0.2,4.2,4.4,16.6,,110,107,2015-16,RickyRubio2015-16
3527,Damjan Rudež,SF,29,MIN,33,0,277,4.5,11.3,.403,3.1,9.1,.340,1.5,2.2,.667,1.5,1.5,1.000,0.9,2.7,3.6,2.0,0.5,0.2,2.4,6.0,13.6,,102,116,2015-16,DamjanRudež2015-16
3528,Greg Smith,PF,25,MIN,18,0,192,4.7,8.4,.563,0.0,0.0,,4.7,8.4,.563,1.8,4.5,.412,3.2,7.9,11.0,1.6,1.1,0.3,1.8,7.4,11.3,,105,111,2015-16,GregSmith2015-16
3529,Karl-Anthony Towns,C,20,MIN,82,82,2627,12.0,22.1,.542,0.6,1.7,.341,11.4,20.4,.559,4.3,5.3,.811,4.4,12.1,16.5,3.1,1.1,2.6,3.5,4.7,28.8,,112,106,2015-16,Karl-AnthonyTowns2015-16
3530,Andrew Wiggins,SF,20,MIN,81,81,2845,10.5,22.9,.459,1.0,3.4,.300,9.5,19.6,.486,7.6,10.0,.761,1.9,3.3,5.2,2.9,1.4,0.8,3.2,2.9,29.7,,106,113,2015-16,AndrewWiggins2015-16
3531,Alexis Ajinça,C,27,NOP,59,17,861,8.6,18.1,.476,0.0,0.1,.000,8.6,18.1,.478,3.0,3.6,.839,4.3,11.2,15.5,1.8,1.1,2.1,3.1,7.7,20.3,,100,107,2015-16,AlexisAjinça2015-16
3532,Ryan Anderson,PF,27,NOP,66,7,2008,9.8,22.9,.427,3.2,8.8,.366,6.6,14.1,.466,4.9,5.6,.873,3.2,6.5,9.8,1.8,0.9,0.6,2.2,2.7,27.8,,108,112,2015-16,RyanAnderson2015-16
3533,James Ennis,C,29,NOP,68,64,1178,4.4,8.2,.533,0.0,0.0,,4.4,8.2,.533,2.6,4.7,.545,5.1,12.4,17.4,1.1,0.9,1.0,2.5,5.2,11.3,,106,108,2015-16,JamesEnnis2015-16
3534,Luke Babbitt,SF,26,NOP,47,13,845,7.2,17.0,.422,2.6,6.4,.404,4.6,10.6,.433,2.3,2.9,.780,1.5,7.2,8.7,3.1,0.6,0.4,1.3,5.3,19.2,,107,112,2015-16,LukeBabbitt2015-16
3535,Norris Cole,PG,27,NOP,45,23,1198,8.1,20.0,.405,1.4,4.2,.324,6.7,15.8,.427,2.2,2.7,.800,0.4,5.8,6.3,6.9,1.5,0.2,3.1,4.2,19.7,,94,111,2015-16,NorrisCole2015-16
3536,Dante Cunningham,SF,28,NOP,80,46,1971,4.7,10.4,.451,1.4,4.4,.316,3.3,6.0,.550,1.4,2.1,.695,1.4,4.5,5.9,1.9,1.1,0.8,1.0,4.4,12.2,,109,112,2015-16,DanteCunningham2015-16
3537,Anthony Davis,C,22,NOP,61,61,2164,12.8,26.0,.493,0.8,2.5,.324,12.0,23.6,.511,7.5,9.9,.758,3.0,11.4,14.4,2.7,1.8,2.9,2.8,3.4,33.9,,110,104,2015-16,AnthonyDavis2015-16
3538,Bryce Dejean-Jones,SG,23,NOP,14,11,279,5.0,12.3,.406,2.1,5.7,.375,2.8,6.6,.432,2.0,3.7,.524,1.4,7.1,8.5,2.7,1.8,0.4,2.0,3.0,14.0,,99,110,2015-16,BryceDejean-Jones2015-16
3539,Toney Douglas,PG,29,NOP,61,18,1262,7.2,17.5,.411,3.2,8.0,.399,4.0,9.5,.421,3.3,3.9,.848,1.0,4.6,5.6,6.2,2.8,0.2,2.5,5.1,20.9,,108,109,2015-16,ToneyDouglas2015-16
3540,James Ennis,SF,25,NOP,9,5,282,8.8,17.6,.500,4.2,8.8,.480,4.6,8.8,.520,3.3,4.2,.792,3.0,3.2,6.2,3.2,2.1,0.5,3.0,4.6,25.1,,118,111,2015-16,JamesEnnis2015-16
3541,Tyreke Evans,SG,26,NOP,25,25,765,8.8,20.4,.433,2.1,5.5,.388,6.7,14.8,.450,4.8,6.0,.796,1.3,7.1,8.4,10.6,2.1,0.5,4.7,4.3,24.6,,105,109,2015-16,TyrekeEvans2015-16
3542,Tim Frazier,PG,25,NOP,16,1,469,8.0,17.9,.450,1.4,3.3,.419,6.7,14.6,.457,4.8,6.2,.763,1.6,5.9,7.5,12.7,2.4,0.1,4.0,4.4,22.2,,111,109,2015-16,TimFrazier2015-16
3543,Jimmer Fredette,SG,26,NOP,4,0,13,3.8,15.3,.250,0.0,3.8,.000,3.8,11.4,.333,0.0,0.0,,0.0,0.0,0.0,3.8,3.8,0.0,3.8,3.8,7.6,,51,109,2015-16,JimmerFredette2015-16
3544,Alonzo Gee,SF,28,NOP,73,38,1632,4.0,7.7,.518,0.5,1.8,.283,3.5,5.9,.590,1.3,2.0,.667,1.8,5.6,7.4,2.2,1.9,0.4,1.7,5.1,9.9,,108,110,2015-16,AlonzoGee2015-16
3545,Eric Gordon,SG,27,NOP,45,44,1481,7.7,18.5,.418,3.8,9.8,.384,4.0,8.6,.457,3.7,4.2,.888,0.3,3.0,3.3,4.1,1.4,0.5,2.4,3.3,23.0,,108,113,2015-16,EricGordon2015-16
3546,Jordan Hamilton,SF,25,NOP,11,4,304,8.0,18.9,.422,2.1,7.3,.289,5.9,11.6,.507,2.3,3.4,.667,2.0,8.2,10.1,4.1,1.3,0.5,2.8,3.9,20.4,,98,110,2015-16,JordanHamilton2015-16
3547,Jrue Holiday,PG,25,NOP,65,23,1831,11.1,25.3,.439,2.4,7.0,.336,8.7,18.3,.478,4.9,5.9,.843,0.7,4.6,5.3,10.6,2.4,0.6,4.5,4.0,29.5,,105,109,2015-16,JrueHoliday2015-16
3548,Orlando Johnson,SG,26,NOP,5,1,54,3.7,15.6,.235,0.9,4.6,.200,2.8,11.0,.250,0.9,1.8,.500,0.9,4.6,5.5,1.8,0.9,0.0,2.8,3.7,9.2,,58,113,2015-16,OrlandoJohnson2015-16
3549,Kendrick Perkins,C,31,NOP,37,5,542,3.7,6.9,.533,0.0,0.0,,3.7,6.9,.533,1.0,2.3,.440,2.3,9.4,11.7,2.8,1.0,1.0,3.8,5.9,8.3,,86,109,2015-16,KendrickPerkins2015-16
3550,Nate Robinson,PG,31,NOP,2,1,23,0.0,2.2,.000,0.0,2.2,.000,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,8.6,2.2,0.0,0.0,10.8,0.0,,121,113,2015-16,NateRobinson2015-16
3551,Ish Smith,PG,27,NOP,27,3,617,7.9,18.3,.430,0.8,2.7,.303,7.1,15.7,.451,2.7,3.5,.767,1.1,6.3,7.4,12.4,1.9,0.5,3.6,3.1,19.2,,104,110,2015-16,IshSmith2015-16
3552,Arron Afflalo,SG,30,NYK,71,57,2371,7.7,17.3,.443,2.0,5.2,.382,5.7,12.2,.469,2.4,2.8,.840,0.5,5.3,5.8,3.1,0.5,0.2,1.8,3.1,19.7,,105,112,2015-16,ArronAfflalo2015-16
3553,Lou Amundson,PF,33,NYK,29,0,204,4.8,13.4,.358,0.0,0.0,,4.8,13.4,.358,3.5,6.8,.519,5.8,6.6,12.3,3.0,1.5,1.8,3.8,11.1,13.1,,87,106,2015-16,LouAmundson2015-16
3554,Thanasis Antetokounmpo,SF,23,NYK,2,0,6,25.7,34.3,.750,0.0,8.6,.000,25.7,25.7,1.000,0.0,0.0,,0.0,8.6,8.6,0.0,0.0,0.0,0.0,17.1,51.4,,140,110,2015-16,ThanasisAntetokounmpo2015-16
3555,Carmelo Anthony,SF,31,NYK,72,72,2530,11.5,26.6,.434,2.1,6.3,.339,9.4,20.3,.463,6.8,8.2,.829,2.0,9.3,11.3,6.1,1.3,0.8,3.6,3.7,32.0,,107,107,2015-16,CarmeloAnthony2015-16
3556,José Calderón,PG,34,NYK,72,72,2024,5.3,11.6,.459,2.1,5.2,.414,3.2,6.4,.496,1.1,1.2,.875,0.6,5.3,5.8,7.6,1.6,0.2,2.2,3.4,13.8,,114,109,2015-16,JoséCalderón2015-16
3557,Cleanthony Early,SF,24,NYK,17,2,154,4.0,13.3,.300,1.3,5.0,.267,2.7,8.3,.320,1.0,1.3,.750,1.3,7.3,8.7,2.0,0.7,1.0,3.0,5.3,10.3,,72,109,2015-16,CleanthonyEarly2015-16
3558,Jimmer Fredette,SG,26,NYK,2,0,5,10.3,10.3,1.000,10.3,10.3,1.000,0.0,0.0,,41.1,51.4,.800,0.0,0.0,0.0,0.0,0.0,0.0,10.3,10.3,72.0,,151,116,2015-16,JimmerFredette2015-16
3559,Langston Galloway,PG,24,NYK,82,7,2033,5.8,14.9,.393,1.9,5.7,.344,3.9,9.2,.423,2.2,2.9,.754,1.1,6.2,7.3,5.2,1.9,0.6,1.5,4.5,15.8,,105,108,2015-16,LangstonGalloway2015-16
3560,Jerian Grant,PG,23,NYK,76,6,1265,6.3,15.9,.394,0.9,4.1,.220,5.4,11.8,.454,3.9,5.0,.780,0.9,4.9,5.8,7.2,2.0,0.4,3.5,3.9,17.3,,97,108,2015-16,JerianGrant2015-16
3561,Robin Lopez,C,27,NYK,82,82,2219,8.3,15.3,.539,0.0,0.0,.000,8.3,15.3,.540,3.0,3.7,.795,6.2,7.7,13.9,2.6,0.4,3.0,3.1,4.2,19.5,,113,107,2015-16,RobinLopez2015-16
3562,Kyle O'Quinn,PF,25,NYK,65,1,764,8.7,18.2,.476,0.3,1.5,.227,8.3,16.8,.498,3.1,4.0,.767,5.1,11.7,16.8,4.8,1.3,3.3,4.1,7.2,20.8,,102,102,2015-16,KyleO'Quinn2015-16
3563,Kristaps Porziņģis,PF,20,NYK,72,72,2047,9.4,22.2,.421,2.0,6.1,.333,7.3,16.1,.454,5.0,6.0,.838,3.3,9.9,13.2,2.4,1.3,3.4,3.0,5.1,25.8,,103,103,2015-16,KristapsPorziņģis2015-16
3564,Kevin Séraphin,C,26,NYK,48,0,526,8.2,20.0,.410,0.0,0.2,.000,8.2,19.8,.414,1.9,2.2,.826,3.0,9.3,12.3,4.6,0.8,3.5,4.2,6.5,18.3,,86,105,2015-16,KevinSéraphin2015-16
3565,Lance Thomas,PF,27,NYK,59,5,1313,6.6,15.0,.442,1.7,4.3,.404,4.9,10.7,.458,4.0,4.7,.857,1.3,3.8,5.1,2.1,0.9,0.3,2.2,4.3,18.9,,107,112,2015-16,LanceThomas2015-16
3566,Sasha Vujačić,SG,31,NYK,61,25,908,6.0,15.7,.383,2.9,8.1,.364,3.1,7.6,.403,1.8,2.2,.821,1.5,7.0,8.4,4.8,1.9,0.3,2.5,4.7,16.8,,101,107,2015-16,SashaVujačić2015-16
3567,Derrick Williams,SF,24,NYK,80,9,1435,9.1,20.2,.450,1.6,5.4,.293,7.5,14.9,.506,6.9,9.2,.758,1.7,8.9,10.6,2.7,1.0,0.3,2.2,2.5,26.7,,110,108,2015-16,DerrickWilliams2015-16
3568,Steven Adams,C,22,OKC,80,80,2014,6.4,10.5,.613,0.0,0.0,,6.4,10.5,.613,2.8,4.8,.582,5.4,7.7,13.1,1.5,1.0,2.2,2.1,5.5,15.7,,123,105,2015-16,StevenAdams2015-16
3569,D.J. Augustin,PG,28,OKC,34,0,519,4.4,11.6,.380,2.3,5.8,.393,2.1,5.7,.367,2.5,3.3,.765,0.5,3.6,4.1,6.3,1.2,0.2,2.9,3.9,13.6,,106,110,2015-16,D.J.Augustin2015-16
3570,Nick Collison,PF,35,OKC,59,4,699,3.6,7.7,.459,0.0,0.1,.000,3.6,7.6,.467,1.6,2.3,.697,4.8,7.3,12.1,3.7,1.1,1.1,3.6,7.6,8.7,,99,107,2015-16,NickCollison2015-16
3571,Kevin Durant,SF,27,OKC,72,72,2578,13.4,26.6,.505,3.6,9.3,.387,9.9,17.3,.569,8.6,9.6,.898,0.9,10.5,11.3,7.0,1.3,1.6,4.8,2.6,39.1,,122,104,2015-16,KevinDurant2015-16
3572,Randy Foye,SG,32,OKC,27,1,572,4.5,12.9,.349,2.2,7.0,.309,2.3,5.9,.397,1.9,2.3,.815,0.7,3.7,4.4,4.3,1.1,1.1,2.4,4.2,13.1,,99,109,2015-16,RandyFoye2015-16
3573,Enes Freedom,C,23,OKC,82,1,1721,11.9,20.7,.576,0.3,0.6,.476,11.7,20.1,.579,5.8,7.2,.797,7.2,12.0,19.2,1.0,0.7,1.0,3.3,4.8,29.9,,123,105,2015-16,EnesFreedom2015-16
3574,Josh Huestis,PF,24,OKC,5,0,55,4.5,10.8,.417,3.6,5.4,.667,0.9,5.4,.167,0.0,3.6,.000,1.8,7.2,9.0,0.0,0.9,1.8,2.7,2.7,12.6,,87,107,2015-16,JoshHuestis2015-16
3575,Serge Ibaka,PF,26,OKC,78,78,2500,8.3,17.3,.479,1.2,3.7,.326,7.1,13.6,.520,1.8,2.4,.752,2.8,7.8,10.6,1.3,0.8,2.9,2.1,4.2,19.5,,108,105,2015-16,SergeIbaka2015-16
3576,Mitch McGary,PF,23,OKC,20,0,72,7.6,15.9,.478,0.0,2.8,.000,7.6,13.1,.579,2.8,6.9,.400,2.8,9.7,12.4,2.1,0.7,1.4,4.8,6.9,17.9,,86,106,2015-16,MitchMcGary2015-16
3577,Nazr Mohammed,C,38,OKC,5,0,19,7.8,13.1,.600,0.0,0.0,,7.8,13.1,.600,5.2,5.2,1.000,2.6,7.8,10.5,0.0,0.0,0.0,7.8,10.5,20.9,,91,110,2015-16,NazrMohammed2015-16
3578,Anthony Morrow,SG,30,OKC,68,6,926,7.3,17.9,.408,4.2,10.9,.387,3.1,6.9,.442,1.6,2.1,.744,0.5,2.8,3.3,1.3,1.2,0.3,0.9,3.4,20.4,,114,110,2015-16,AnthonyMorrow2015-16
3579,Steve Novak,PF,32,OKC,7,0,24,12.4,24.8,.500,10.3,18.6,.556,2.1,6.2,.333,0.0,0.0,,0.0,8.3,8.3,0.0,0.0,0.0,2.1,2.1,35.2,,126,110,2015-16,SteveNovak2015-16
3580,Cameron Payne,PG,21,OKC,57,1,698,8.1,19.8,.410,2.6,7.9,.324,5.5,11.9,.467,1.4,1.7,.792,0.6,5.4,6.0,7.7,2.6,0.4,3.1,5.7,20.1,,104,105,2015-16,CameronPayne2015-16
3581,Andre Roberson,SG,24,OKC,70,70,1553,4.3,8.8,.496,1.0,3.3,.311,3.3,5.5,.608,1.1,1.7,.611,2.5,5.5,8.0,1.5,1.7,1.3,1.1,4.3,10.8,,119,106,2015-16,AndreRoberson2015-16
3582,Kyle Singler,SF,27,OKC,68,2,977,4.4,11.2,.389,1.5,4.9,.309,2.8,6.3,.452,1.5,2.2,.659,2.5,4.6,7.2,1.2,1.5,0.5,1.6,6.1,11.7,,102,108,2015-16,KyleSingler2015-16
3583,Dion Waiters,SG,24,OKC,78,15,2152,6.5,16.3,.399,2.0,5.5,.358,4.5,10.7,.421,2.6,3.6,.713,0.8,3.8,4.7,3.6,1.9,0.3,2.8,3.3,17.6,,99,108,2015-16,DionWaiters2015-16
3584,Russell Westbrook,PG,27,OKC,80,80,2750,11.8,26.1,.454,1.8,6.2,.296,10.0,19.9,.503,8.4,10.3,.812,2.6,8.7,11.3,15.1,2.9,0.4,6.2,3.6,33.9,,115,103,2015-16,RussellWestbrook2015-16
3585,Keith Appling,PG,23,ORL,5,0,27,3.7,14.8,.250,0.0,5.6,.000,3.7,9.3,.400,3.7,3.7,1.000,0.0,1.9,1.9,1.9,1.9,0.0,5.6,9.3,11.1,,57,110,2015-16,KeithAppling2015-16
3586,Dewayne Dedmon,C,26,ORL,58,20,705,7.0,12.6,.559,0.0,0.0,,7.0,12.6,.559,4.0,5.4,.750,4.8,11.4,16.2,0.9,1.6,3.3,2.3,7.7,18.1,,117,102,2015-16,DewayneDedmon2015-16
3587,Evan Fournier,SF,23,ORL,79,71,2566,8.4,18.1,.462,3.0,7.6,.400,5.3,10.5,.506,3.9,4.6,.836,0.6,3.7,4.4,4.2,1.9,0.0,2.6,4.2,23.6,,111,110,2015-16,EvanFournier2015-16
3588,Channing Frye,PF,32,ORL,44,29,754,5.4,12.3,.435,3.2,8.0,.397,2.2,4.3,.508,1.3,1.4,.905,1.5,7.8,9.4,3.0,1.4,1.3,2.0,4.7,15.2,,111,107,2015-16,ChanningFrye2015-16
3589,Aaron Gordon,PF,20,ORL,78,37,1863,7.4,15.5,.473,1.1,3.8,.296,6.2,11.7,.531,3.5,5.2,.668,4.1,9.5,13.6,3.4,1.6,1.5,1.8,4.1,19.3,,114,105,2015-16,AaronGordon2015-16
3590,Tobias Harris,PF,23,ORL,49,49,1610,7.8,16.8,.464,1.5,4.7,.311,6.3,12.1,.523,3.7,4.8,.784,2.2,8.4,10.6,3.1,1.5,0.9,2.4,2.8,20.8,,107,107,2015-16,TobiasHarris2015-16
3591,Mario Hezonja,SF,20,ORL,79,9,1413,6.4,14.8,.433,2.4,6.8,.349,4.0,8.0,.504,1.7,1.9,.907,1.0,5.2,6.2,3.9,1.4,0.6,3.4,4.4,16.9,,97,109,2015-16,MarioHezonja2015-16
3592,Ersan İlyasova,PF,28,ORL,22,4,447,7.2,17.1,.418,2.0,4.9,.409,5.1,12.2,.422,3.6,5.0,.711,5.0,8.5,13.5,1.3,1.6,0.7,1.3,5.7,19.9,,111,107,2015-16,Ersanİlyasova2015-16
3593,Brandon Jennings,PG,26,ORL,25,6,452,6.5,17.8,.366,3.0,8.6,.346,3.5,9.2,.386,3.3,4.4,.750,1.2,4.3,5.5,11.1,2.0,0.6,3.9,3.7,19.4,,103,108,2015-16,BrandonJennings2015-16
3594,Devyn Marble,SG,23,ORL,28,0,249,4.2,14.3,.296,1.6,6.4,.250,2.6,7.8,.333,2.0,4.8,.417,1.2,6.4,7.6,2.4,2.6,0.2,1.4,5.0,12.0,,81,106,2015-16,DevynMarble2015-16
3595,Shabazz Napier,PG,24,ORL,55,0,600,5.7,16.8,.338,2.8,8.7,.327,2.8,8.1,.351,2.8,3.8,.733,0.8,3.8,4.6,8.1,1.9,0.1,3.8,3.2,16.9,,93,109,2015-16,ShabazzNapier2015-16
3596,Andrew Nicholson,PF,26,ORL,56,0,823,8.9,18.8,.471,2.5,6.9,.360,6.4,11.9,.536,3.1,3.9,.785,2.1,10.1,12.2,1.5,0.6,1.3,2.5,4.2,23.3,,106,107,2015-16,AndrewNicholson2015-16
3597,Victor Oladipo,SG,23,ORL,72,52,2379,8.9,20.4,.438,2.1,5.9,.348,6.9,14.5,.475,4.3,5.2,.830,1.0,6.2,7.3,5.9,2.4,1.1,3.2,3.7,24.2,,105,106,2015-16,VictorOladipo2015-16
